name,frame,card_type,monster_type,level,attribute,cardmarket,tcgplayer,word_count
Adamancipator Risen - Leonite,synchro,Synchro Monster,Rock,6,FIRE,0.22,0.14,87
Adamancipator Risen - Raptite,synchro,Synchro Monster,Rock,6,WIND,0.20,0.19,87
Adamancipator Seeker,effect,Tuner Monster,Rock,2,EARTH,0.19,0.14,74
Adhesive Explosive,effect,Effect Monster,Machine,3,WIND,0.02,0.15,47
"Adreus, Keeper of Armageddon",xyz,XYZ Monster,Fiend,5,DARK,1.71,1.25,26
Adularia of the June Moon,effect,Effect Monster,Spellcaster,5,WATER,0.13,0.21,89
Advanced Crystal Beast Amber Mammoth,effect,Effect Monster,Beast,4,EARTH,0.61,0.28,94
Advanced Crystal Beast Amethyst Cat,effect,Effect Monster,Beast,3,EARTH,0.43,0.30,72
Advanced Crystal Beast Cobalt Eagle,effect,Effect Monster,Winged Beast,4,WIND,0.93,0.51,96
Advanced Crystal Beast Emerald Tortoise,effect,Effect Monster,Aqua,3,WATER,0.75,0.26,65
Advanced Crystal Beast Ruby Carbuncle,effect,Effect Monster,Fairy,3,LIGHT,0.65,0.39,97
Advanced Crystal Beast Sapphire Pegasus,effect,Effect Monster,Beast,4,WIND,1.18,0.46,83
Advanced Crystal Beast Topaz Tiger,effect,Effect Monster,Beast,4,EARTH,0.63,0.27,65
Aegaion the Sea Castrum,xyz,XYZ Monster,Machine,8,WATER,0.19,0.17,99
Aeropixthree,effect,Tuner Monster,Fairy,1,WIND,0.03,0.05,67
"Aether, the Empowering Dragon",effect,Effect Monster,Dragon,6,LIGHT,0.10,0.15,33
"Aether, the Evil Empowering Dragon",effect_pendulum,Pendulum Effect Monster,Dragon,6,DARK,0.17,0.16,48
Agave Dragon,link,Link Monster,Wyrm,L4,EARTH,0.06,0.12,86
Agido,effect,Effect Monster,Fairy,4,EARTH,0.60,0.14,52
Agido the Ancient Sentinel,effect,Effect Monster,Fairy,4,EARTH,1.48,0.40,126
Agnimal Candle,effect,Tuner Monster,Pyro,4,FIRE,0.08,0.06,61
"Ahrima, the Wicked Warden",effect,Effect Monster,Fiend,4,DARK,0.17,0.08,72
Aileron,effect,Effect Monster,Machine,1,WIND,0.20,0.16,87
Air Armor Ninja,effect,Effect Monster,Warrior,4,WIND,0.12,0.14,18
Air Eater,normal,Normal Monster,Fiend,6,WIND,0.00,0.00,11
Airknight Parshath,effect,Effect Monster,Fairy,5,LIGHT,0.15,0.17,24
Airorca,effect,Effect Monster,Sea Serpent,3,WIND,0.06,0.14,36
Aitsu,normal,Normal Monster,Fairy,5,FIRE,0.30,0.20,12
"Aiwass, the Magistus Spell Spirit",fusion,Fusion Monster,Fiend,8,WIND,0.25,0.22,82
Akakieisu,normal,Normal Monster,Spellcaster,3,DARK,0.00,0.00,9
Akashic Magician,link,Link Monster,Spellcaster,L2,DARK,1.15,1.18,88
Akihiron,normal,Normal Monster,Aqua,5,WATER,0.00,0.00,13
"Akz, the Pumer",effect,Effect Monster,Beast-Warrior,6,EARTH,0.17,0.17,60
Al-Lumi'raj,effect,Tuner Monster,Wyrm,3,WIND,0.08,0.05,16
Alba-Lenatus the Abyss Dragon,fusion,Fusion Monster,Dragon,8,DARK,0.23,0.17,93
Albaz the Ashen,effect,Effect Monster,Dragon,4,DARK,0.27,0.12,96
Albion the Branded Dragon,fusion,Fusion Monster,Dragon,8,DARK,0.30,0.17,93
Albion the Sanctifire Dragon,fusion,Fusion Monster,Dragon,8,LIGHT,9.33,11.40,98
Albion the Shrouded Dragon,effect,Effect Monster,Dragon,8,DARK,0.07,0.08,97
Alchemic Magician,xyz,XYZ Monster,Spellcaster,4,DARK,2.95,2.69,60
Alchemist of Black Spells,effect,Effect Monster,Spellcaster,4,WIND,0.13,0.20,36
"Alector, Sovereign of Birds",effect,Effect Monster,Winged Beast,6,WIND,0.47,0.41,55
"Aleirtt, the Ogdoadic Dark",effect,Effect Monster,Reptile,8,DARK,0.28,0.21,66
Aleister the Invoker,effect,Effect Monster,Spellcaster,4,DARK,3.80,1.94,50
Aleister the Invoker of Madness,link,Link Monster,Spellcaster,L2,DARK,2.60,0.43,90
Alexandrite Dragon,normal,Normal Monster,Dragon,4,LIGHT,0.12,0.20,44
Alghoul Mazera,effect,Effect Monster,Zombie,8,EARTH,0.12,0.13,64
"Alice, Lady of Lament",effect,Effect Monster,Fiend,3,DARK,0.18,0.25,97
"Alich, Malebranche of the Burning Abyss",effect,Effect Monster,Fiend,3,DARK,0.34,0.36,80
Alien Ammonite,effect,Tuner Monster,Reptile,1,LIGHT,0.12,0.12,26
Alien Dog,effect,Effect Monster,Reptile,3,LIGHT,0.23,0.48,28
Alien Grey,effect,Flip Effect Monster,Reptile,2,LIGHT,0.22,0.21,59
Alien Hunter,effect,Effect Monster,Reptile,4,WATER,0.14,0.25,19
Alien Hypno,effect,Gemini Monster,Reptile,4,WATER,0.19,0.45,95
Alien Infiltrator,effect,Effect Monster,Reptile,2,EARTH,0.28,0.12,43
Alien Kid,effect,Effect Monster,Reptile,4,LIGHT,2.22,9.91,38
Alien Mars,effect,Effect Monster,Reptile,3,FIRE,0.30,0.24,13
Alien Mother,effect,Effect Monster,Reptile,6,DARK,0.75,0.42,55
Alien Overlord,effect,Effect Monster,Reptile,6,DARK,0.49,0.94,63
Alien Psychic,effect,Effect Monster,Reptile,1,DARK,0.16,0.22,22
Alien Shocktrooper,normal,Normal Monster,Reptile,4,EARTH,0.48,0.43,32
Alien Shocktrooper M-Frame,link,Link Monster,Reptile,L2,LIGHT,0.22,0.24,79
Alien Skull,effect,Effect Monster,Reptile,4,WIND,0.12,0.20,76
Alien Stealthbuster,effect,Effect Monster,Reptile,4,LIGHT,0.10,0.10,65
Alien Telepath,effect,Effect Monster,Reptile,4,FIRE,2.39,2.97,42
Alien Warrior,effect,Effect Monster,Reptile,4,EARTH,1.32,0.57,44
Alinsection,normal,Normal Monster,Insect,3,EARTH,0.12,0.16,9
All-Eyes Phantom Dragon,effect_pendulum,Pendulum Effect Monster,Dragon,10,LIGHT,0.30,0.60,145
Alligator's Sword,normal,Normal Monster,Beast,4,EARTH,0.08,0.18,19
Alligator's Sword Dragon,fusion,Fusion Monster,Dragon,5,WIND,0.04,0.16,24
Allure Queen LV3,effect,Effect Monster,Spellcaster,3,DARK,0.08,0.18,85
Allure Queen LV5,effect,Effect Monster,Spellcaster,5,DARK,0.30,0.25,98
Allure Queen LV7,effect,Effect Monster,Spellcaster,7,DARK,3.84,4.12,65
Allvain the Essence of Vanity,fusion,Fusion Monster,Fairy,2,DARK,0.09,0.11,3
Ally Mind,normal,Normal Tuner Monster,Machine,5,DARK,0.19,0.07,41
Ally of Justice Catastor,synchro,Synchro Monster,Machine,5,DARK,0.35,0.38,24
Ally of Justice Clausolas,normal,Normal Monster,Machine,6,DARK,0.02,0.08,21
Ally of Justice Core Destroyer,effect,Effect Monster,Machine,3,DARK,0.10,0.16,17
Ally of Justice Cosmic Gateway,effect,Effect Monster,Machine,8,DARK,0.16,0.08,21
Ally of Justice Cycle Reader,effect,Tuner Monster,Machine,3,DARK,0.91,0.18,26
Ally of Justice Cyclone Creator,effect,Tuner Monster,Machine,3,DARK,1.56,1.05,32
Ally of Justice Decisive Armor,synchro,Synchro Monster,Machine,10,DARK,0.40,0.24,101
Ally of Justice Enemy Catcher,effect,Effect Monster,Machine,6,DARK,0.18,0.05,26
Ally of Justice Field Marshal,synchro,Synchro Monster,Machine,9,DARK,0.25,0.09,40
Ally of Justice Garadholg,effect,Effect Monster,Machine,4,DARK,0.05,0.07,16
Ally of Justice Light Gazer,synchro,Synchro Monster,Machine,8,DARK,0.70,0.30,21
Ally of Justice Nullfier,effect,Effect Monster,Machine,4,DARK,0.22,0.07,16
Ally of Justice Omni-Weapon,effect,Effect Monster,Machine,5,DARK,0.26,0.08,38
Ally of Justice Quarantine,effect,Effect Monster,Machine,4,DARK,0.12,0.10,7
Ally of Justice Reverse Break,effect,Effect Monster,Machine,4,DARK,0.15,0.06,37
Ally of Justice Rudra,effect,Effect Monster,Machine,5,DARK,0.05,0.07,16
Ally of Justice Searcher,effect,Effect Monster,Machine,3,DARK,0.19,0.07,33
Ally of Justice Thousand Arms,effect,Effect Monster,Machine,4,DARK,0.11,0.21,26
Ally of Justice Thunder Armor,effect,Effect Monster,Machine,8,DARK,0.14,0.06,43
Ally of Justice Unknown Crusher,effect,Effect Monster,Machine,3,DARK,0.13,0.21,15
Ally of Justice Unlimiter,effect,Effect Monster,Machine,2,DARK,0.21,0.06,23
Ally Salvo,effect,Effect Monster,Machine,2,DARK,0.19,0.32,25
Aloof Lupine,effect,Effect Monster,Beast,4,DARK,0.19,0.21,74
"Alpacaribou, Mystical Beast of the Forest",effect,Effect Monster,Beast,7,EARTH,0.09,0.09,45
Alpha The Electromagnet Warrior,effect,Effect Monster,Rock,3,EARTH,1.52,2.91,62
Alpha The Magnet Warrior,normal,Normal Monster,Rock,4,EARTH,0.09,0.25,12
"Alpha, the Master of Beasts",effect,Effect Monster,Beast,8,EARTH,0.15,0.14,103
Altergeist Adminia,link,Link Monster,Spellcaster,L4,DARK,0.00,0.43,81
Altergeist Dragvirion,synchro,Synchro Monster,Spellcaster,6,DARK,0.12,0.19,57
Altergeist Fifinellag,effect,Tuner Monster,Spellcaster,2,DARK,0.15,0.14,30
Altergeist Fijialert,effect,Effect Monster,Spellcaster,4,WATER,0.26,0.16,68
Altergeist Hexstia,link,Link Monster,Spellcaster,L2,FIRE,0.04,0.13,82
Altergeist Kidolga,link,Link Monster,Spellcaster,L2,DARK,0.07,0.18,70
Altergeist Kunquery,effect,Effect Monster,Spellcaster,5,EARTH,0.08,0.08,60
Altergeist Malwisp,effect,Tuner Monster,Spellcaster,3,LIGHT,0.26,0.18,67
Altergeist Marionetter,effect,Effect Monster,Spellcaster,4,LIGHT,0.04,0.12,70
Altergeist Meluseek,effect,Effect Monster,Spellcaster,1,WATER,0.04,0.13,65
Altergeist Memorygant,link,Link Monster,Spellcaster,L4,DARK,1.59,0.73,85
Altergeist Multifaker,effect,Effect Monster,Spellcaster,3,DARK,0.10,0.10,68
Altergeist Peritrator,effect,Effect Monster,Spellcaster,1,FIRE,0.22,0.17,64
Altergeist Pixiel,effect,Effect Monster,Spellcaster,1,WIND,0.03,0.10,40
Altergeist Pookuery,effect,Effect Monster,Spellcaster,1,DARK,1.39,0.83,82
Altergeist Primebanshee,link,Link Monster,Spellcaster,L3,DARK,0.06,0.15,68
Altergeist Silquitous,effect,Effect Monster,Spellcaster,2,WIND,0.04,0.08,64
Altitude Knight,effect,Effect Monster,Warrior,4,WIND,0.04,0.08,26
Aluber the Jester of Despia,effect,Effect Monster,Fairy,4,DARK,4.04,2.57,94
Alviss of the Nordic Alfar,effect,Effect Monster,Spellcaster,4,DARK,0.10,0.25,105
Amabie,effect,Effect Monster,Fairy,3,WATER,2.69,2.42,21
Amano-Iwato,effect,Spirit Monster,Rock,4,EARTH,0.29,0.91,36
Amanokujaki,effect,Tuner Monster,Fiend,3,LIGHT,0.06,0.06,59
Amarylease,effect,Effect Monster,Plant,1,EARTH,0.08,0.11,35
Amaterasu,effect,Spirit Monster,Fairy,9,LIGHT,0.31,0.23,68
Amatsu-Okami of the Divine Peaks,link,Link Monster,Dragon,L4,LIGHT,52.18,0.00,27
Amazement Abomination Arlekino,effect,Effect Monster,Psychic,7,LIGHT,0.10,0.06,94
Amazement Administrator Arlekino,effect,Effect Monster,Psychic,7,DARK,4.43,2.59,94
Amazement Ambassador Bufo,effect,Effect Monster,Beast,3,EARTH,0.10,0.08,71
Amazement Assistant Delia,effect,Effect Monster,Machine,4,LIGHT,0.28,0.21,58
Amazement Attendant Comica,effect,Effect Monster,Machine,4,LIGHT,0.76,1.21,58
Amazon of the Seas,normal,Normal Monster,Fish,4,WATER,0.54,2.84,18
Amazoness Archer,effect,Effect Monster,Warrior,4,EARTH,0.12,0.44,11
Amazoness Augusta,fusion,Fusion Monster,Warrior,10,EARTH,0.09,0.07,83
Amazoness Baby Tiger,effect,Effect Monster,Beast,2,EARTH,2.15,0.46,64
Amazoness Blowpiper,effect,Effect Monster,Warrior,3,EARTH,0.25,0.38,23
Amazoness Chain Master,effect,Effect Monster,Warrior,4,EARTH,0.18,0.24,32
Amazoness Empress,fusion,Fusion Monster,Warrior,8,EARTH,0.22,0.60,73
Amazoness Fighter,effect,Effect Monster,Warrior,4,EARTH,0.14,0.25,10
Amazoness Golden Whip Master,effect_pendulum,Pendulum Effect Monster,Warrior,5,EARTH,0.03,0.08,122
Amazoness Paladin,effect,Effect Monster,Warrior,4,EARTH,0.14,0.24,11
Amazoness Pet Liger,fusion,Fusion Monster,Beast,7,EARTH,0.15,0.31,66
Amazoness Pet Liger King,fusion,Fusion Monster,Beast,9,EARTH,0.08,0.07,79
Amazoness Princess,effect,Effect Monster,Warrior,3,EARTH,1.68,2.97,80
Amazoness Queen,effect,Effect Monster,Warrior,6,EARTH,1.74,0.41,9
Amazoness Sage,effect,Effect Monster,Warrior,4,EARTH,0.03,0.23,26
Amazoness Scouts,effect,Effect Monster,Warrior,2,EARTH,0.18,0.26,30
Amazoness Silver Sword Master,effect_pendulum,Pendulum Effect Monster,Warrior,3,EARTH,0.03,0.05,126
Amazoness Spiritualist,effect,Effect Monster,Warrior,2,EARTH,0.07,0.08,81
Amazoness Spy,effect,Effect Monster,Warrior,3,EARTH,0.08,0.21,64
Amazoness Swords Woman,effect,Effect Monster,Warrior,4,EARTH,0.07,0.27,16
Amazoness Tiger,effect,Effect Monster,Beast,4,EARTH,0.17,0.24,29
Amazoness Trainee,effect,Effect Monster,Warrior,4,EARTH,0.09,0.16,34
Amazoness War Chief,effect,Effect Monster,Warrior,5,EARTH,0.07,0.08,66
Ambitious Gofer,effect,Effect Monster,Fiend,6,DARK,0.11,0.19,31
Ambulance Rescueroid,fusion,Fusion Monster,Machine,6,FIRE,0.02,0.09,43
Ambulanceroid,effect,Effect Monster,Machine,3,EARTH,0.08,0.12,18
Ameba,effect,Effect Monster,Aqua,1,WATER,0.14,0.12,41
Amores of Prophecy,effect,Effect Monster,Spellcaster,3,EARTH,0.09,0.15,25
"Amorphactor Pain, the Imagination Dracoverlord",ritual,Ritual Effect Monster,Dragon,8,EARTH,0.08,0.04,68
Amorphage Envy,effect_pendulum,Pendulum Effect Monster,Dragon,4,EARTH,0.19,0.22,71
Amorphage Gluttony,effect_pendulum,Pendulum Effect Monster,Dragon,2,EARTH,0.14,0.25,66
Amorphage Goliath,effect_pendulum,Pendulum Effect Monster,Dragon,8,EARTH,0.21,0.21,53
Amorphage Greed,effect_pendulum,Pendulum Effect Monster,Dragon,4,EARTH,0.26,0.29,71
Amorphage Lechery,effect_pendulum,Pendulum Effect Monster,Dragon,2,EARTH,0.21,0.19,71
Amorphage Pride,effect_pendulum,Pendulum Effect Monster,Dragon,4,EARTH,0.12,0.14,64
Amorphage Sloth,effect_pendulum,Pendulum Effect Monster,Dragon,6,EARTH,1.59,1.14,56
Amorphage Wrath,effect_pendulum,Pendulum Effect Monster,Dragon,4,EARTH,0.12,0.18,66
Amphibian Beast,normal,Normal Monster,Fish,6,WATER,0.33,0.43,13
Amphibious Bugroth,fusion,Fusion Monster,Aqua,5,WATER,5.75,0.76,8
Amphibious Bugroth MK-11,effect,Effect Monster,Machine,5,WATER,0.05,0.05,48
Amphibious Bugroth MK-3,effect,Effect Monster,Machine,4,WATER,0.02,0.09,16
Amphibious Swarmship Amblowhale,link,Link Monster,Machine,L4,FIRE,0.15,2.13,87
Amulet Dragon,fusion,Fusion Monster,Dragon,8,DARK,0.47,0.54,73
"Amunessia, the Ogdoadic Queen",effect,Effect Monster,Reptile,8,DARK,2.40,1.75,92
An Owl of Luck,effect,Flip Effect Monster,Winged Beast,2,WIND,0.40,0.52,35
Anarchist Monk Ranshin,effect,Effect Monster,Spellcaster,4,EARTH,0.12,0.12,34
Anchamoufrite,effect_pendulum,Pendulum Effect Monster,Spellcaster,5,LIGHT,0.07,0.07,86
Ancient Brain,normal,Normal Monster,Fiend,3,DARK,0.07,0.07,9
Ancient Crimson Ape,effect,Effect Monster,Beast,7,LIGHT,0.11,0.13,16
Ancient Dragon,effect,Effect Monster,Dragon,4,LIGHT,0.04,0.27,25
Ancient Elf,normal,Normal Monster,Spellcaster,4,LIGHT,0.10,0.12,20
Ancient Fairy Dragon,synchro,Synchro Monster,Dragon,7,LIGHT,0.13,0.16,69
Ancient Flamvell Deity,synchro,Synchro Monster,Pyro,7,FIRE,0.33,0.13,47
Ancient Gear,effect,Effect Monster,Machine,2,EARTH,0.07,0.09,19
Ancient Gear Ballista,link,Link Monster,Machine,L2,EARTH,7.11,9.10,75
Ancient Gear Beast,effect,Effect Monster,Machine,6,EARTH,0.15,0.22,39
Ancient Gear Box,effect,Effect Monster,Machine,4,EARTH,0.69,0.53,52
Ancient Gear Cannon,effect,Effect Monster,Machine,2,EARTH,0.10,0.26,28
Ancient Gear Commander,effect,Effect Monster,Machine,4,EARTH,0.00,0.00,89
Ancient Gear Dark Golem,effect,Effect Monster,Machine,8,EARTH,0.00,0.00,94
Ancient Gear Engineer,effect,Effect Monster,Machine,5,EARTH,0.10,0.18,55
Ancient Gear Frame,effect,Effect Monster,Machine,4,EARTH,0.41,1.01,101
Ancient Gear Gadget,effect,Effect Monster,Machine,4,EARTH,0.12,0.11,69
Ancient Gear Gadjiltron Chimera,effect,Effect Monster,Machine,6,EARTH,0.24,0.20,63
Ancient Gear Gadjiltron Dragon,effect,Effect Monster,Machine,8,EARTH,0.14,0.43,87
Ancient Gear Golem,effect,Effect Monster,Machine,8,EARTH,0.09,0.19,34
Ancient Gear Golem - Ultimate Pound,effect,Effect Monster,Machine,8,EARTH,0.12,0.12,84
Ancient Gear Howitzer,fusion,Fusion Monster,Machine,8,EARTH,0.42,0.30,61
Ancient Gear Hunting Hound,effect,Effect Monster,Machine,3,EARTH,0.65,0.46,56
Ancient Gear Hydra,effect,Effect Monster,Machine,7,EARTH,0.23,0.16,86
Ancient Gear Knight,effect,Gemini Monster,Machine,4,EARTH,0.15,0.18,61
Ancient Gear Megaton Golem,fusion,Fusion Monster,Machine,9,EARTH,3.62,0.97,91
Ancient Gear Reactor Dragon,effect,Effect Monster,Machine,9,EARTH,0.66,0.86,87
Ancient Gear Soldier,effect,Effect Monster,Machine,4,EARTH,0.09,0.15,18
Ancient Gear Tanker,effect,Effect Monster,Machine,4,EARTH,0.00,0.00,92
Ancient Gear Token,token,Token,Machine,1,EARTH,1.28,1.05,19
Ancient Gear Wyvern,effect,Effect Monster,Machine,4,EARTH,2.04,1.09,67
Ancient Jar,normal,Normal Monster,Rock,1,EARTH,0.00,0.00,10
Ancient Lamp,effect,Effect Monster,Spellcaster,3,WIND,0.09,0.12,81
Ancient Lizard Warrior,normal,Normal Monster,Reptile,4,EARTH,0.08,0.07,10
Ancient One of the Deep Forest,normal,Normal Monster,Beast,6,EARTH,0.02,0.01,19
Ancient Pixie Dragon,synchro,Synchro Monster,Dragon,7,DARK,3.90,4.72,71
Ancient Sacred Wyvern,synchro,Synchro Monster,Fairy,7,LIGHT,9.19,16.58,62
Ancient Sorcerer,normal,Normal Monster,Spellcaster,4,DARK,0.00,0.00,14
Ancient Tool,normal,Normal Monster,Machine,5,DARK,2.29,0.38,10
Ancient Tree of Enlightenment,normal,Normal Monster,Plant,3,EARTH,0.00,0.00,14
Ancient Warriors - Ambitious Cao De,effect,Effect Monster,Beast-Warrior,8,FIRE,0.28,0.25,108
Ancient Warriors - Deceptive Jia Wen,effect,Effect Monster,Beast-Warrior,4,FIRE,0.11,0.10,84
Ancient Warriors - Eccentric Lu Jing,effect,Effect Monster,Beast-Warrior,4,WATER,0.06,0.19,72
Ancient Warriors - Fearsome Zhang Yuan,effect,Effect Monster,Beast-Warrior,6,FIRE,0.12,0.14,92
Ancient Warriors - Graceful Zhou Gong,effect,Effect Monster,Beast-Warrior,4,WATER,0.09,0.23,76
Ancient Warriors - Ingenious Zhuge Kong,effect,Effect Monster,Beast-Warrior,4,WIND,0.14,0.40,99
Ancient Warriors - Loyal Guan Yun,effect,Effect Monster,Beast-Warrior,7,WIND,0.06,0.40,64
Ancient Warriors - Masterful Sun Mou,effect,Effect Monster,Beast-Warrior,4,WATER,4.79,2.56,95
Ancient Warriors - Rebellious Lu Feng,effect,Effect Monster,Beast-Warrior,8,DARK,0.16,0.17,116
Ancient Warriors - Savage Don Ying,effect,Effect Monster,Beast-Warrior,6,DARK,0.04,0.03,105
Ancient Warriors - Valiant Zhang De,effect,Effect Monster,Beast-Warrior,7,WIND,0.11,0.24,82
Ancient Warriors - Virtuous Liu Xuan,effect,Effect Monster,Beast-Warrior,4,WIND,2.53,1.02,92
Ancient Warriors Oath - Double Dragon Lords,link,Link Monster,Beast-Warrior,L2,WIND,7.64,8.13,85
Andro Sphinx,effect,Effect Monster,Beast,10,LIGHT,0.31,0.40,73
Anesthrokket Dragon,effect,Effect Monster,Dragon,1,DARK,0.06,0.12,92
Angel O1,effect,Effect Monster,Fairy,1,LIGHT,0.42,0.16,71
Angel O7,effect,Effect Monster,Fairy,7,LIGHT,0.07,0.25,20
Angel of Zera,synchro,Synchro Monster,Fairy,8,LIGHT,0.11,0.13,51
Angel Trumpeter,normal,Normal Tuner Monster,Plant,4,EARTH,0.18,0.38,23
"Angelica, Princess of Noble Arms",synchro,Synchro Monster,Warrior,5,FIRE,0.00,1.29,112
Angello Vaalmonica,effect_pendulum,Pendulum Effect Monster,Fairy,4,DARK,0.00,0.22,131
Angmarl the Fiendish Monarch,effect,Effect Monster,Fiend,6,DARK,0.84,0.37,33
Angraecum Umbrella,effect,Tuner Monster,Spellcaster,3,WATER,0.15,0.17,51
Animadorned Archosaur,effect,Effect Monster,Dinosaur,1,LIGHT,0.70,0.18,65
Ankuriboh,effect,Effect Monster,Fiend,1,DARK,0.00,0.00,85
Annihilator Archfiend,effect,Effect Monster,Fiend,9,DARK,0.10,0.12,56
Ansatsu,normal,Normal Monster,Warrior,5,EARTH,0.17,0.52,8
