name,frame,card_type,sub_type,cardmarket,tcgplayer,word_count,adds,banishes,negates,field_wipe,searches,recovers,leave_field_trigger,send_trigger,OPT,release
A Deal with Dark Ruler,spell,Spell Card,Quick-Play,0.19,0.17,36,False,False,False,False,False,False,False,True,False,2002-11-21
A Feather of the Phoenix,spell,Spell Card,Normal,0.06,0.25,19,False,False,False,False,False,True,False,False,False,2004-11-25
A Feint Plan,trap,Trap Card,Normal,0.14,0.20,9,False,False,False,False,False,False,False,False,False,2001-09-20
A Hero Emerges,trap,Trap Card,Normal,0.06,0.09,36,False,False,False,False,False,False,False,True,False,2003-07-17
A Hero Lives,spell,Spell Card,Normal,0.13,0.17,23,False,False,False,False,False,False,False,False,False,2011-03-12
A Legendary Ocean,spell,Spell Card,Field,0.11,0.16,34,False,False,False,False,False,False,False,False,False,2001-11-29
A Major Upset,trap,Trap Card,Normal,0.08,0.17,24,False,False,False,False,False,False,False,False,False,2009-04-18
A Man with Wdjat,effect,Effect Monster,Spellcaster,0.05,0.11,38,False,False,False,False,False,False,False,False,False,2002-05-16
A Rival Appears!,trap,Trap Card,Normal,0.14,0.15,23,False,False,False,False,False,False,False,False,False,2005-05-26
"A Shattered, Colorless Realm",trap,Trap Card,Normal,0.08,0.03,51,False,True,False,False,False,False,False,False,False,2023-01-14
A Wild Monster Appears!,spell,Spell Card,Normal,0.08,0.07,84,False,False,False,False,False,False,False,False,False,2014-11-15
A Wingbeat of Giant Dragon,spell,Spell Card,Normal,0.03,0.13,26,False,False,False,False,False,False,False,False,False,2001-09-20
A-Assault Core,effect,Union Effect Monster,Machine,0.87,0.66,84,True,False,False,False,False,True,False,True,True,2016-06-18
A-Team: Trap Disposal Unit,effect,Effect Monster,Machine,0.59,0.25,31,False,False,True,False,False,False,False,False,False,2004-08-05
A-to-Z-Dragon Buster Cannon,fusion,Fusion Monster,Machine,0.43,0.49,89,False,True,True,False,False,False,False,False,False,2016-06-18
A.I. Challenge You,trap,Trap Card,Continuous,0.09,0.08,68,False,False,False,False,False,True,False,False,True,2021-01-16
A.I. Contact,spell,Spell Card,Normal,0.09,0.12,39,False,False,False,False,False,False,False,False,False,2020-01-11
A.I. Love Fusion,spell,Spell Card,Normal,0.08,0.03,51,False,False,False,False,False,False,False,False,False,2019-10-12
A.I. Meet You,spell,Spell Card,Normal,0.06,0.09,87,True,False,False,False,False,False,False,False,False,2021-01-16
A.I. Shadow,trap,Trap Card,Continuous,0.05,0.03,72,False,True,False,False,False,False,False,False,True,2019-10-12
A.I.'s Ritual,spell,Spell Card,Ritual,0.04,0.05,61,False,True,False,False,False,True,False,False,False,2019-10-12
A.I.'s Show,trap,Trap Card,Normal,0.11,0.09,54,False,False,False,False,False,False,False,False,False,2021-06-12
A.I.dle Reborn,spell,Spell Card,Quick-Play,0.09,0.17,86,True,True,False,False,False,True,False,False,True,2019-10-12
A.I.Q,trap,Trap Card,Continuous,0.06,0.04,42,False,False,False,False,False,False,False,False,True,2020-01-11
A/D Changer,effect,Effect Monster,Warrior,0.08,0.22,19,False,True,False,False,False,False,False,False,False,2010-04-17
A★Speculation,fusion,Fusion Monster,Warrior,0.00,0.00,84,False,False,False,False,False,True,False,False,True,2023-12-16
Abaki,effect,Effect Monster,Fiend,0.05,0.15,17,False,False,False,False,False,False,False,True,False,2006-08-10
Abare Ushioni,effect,Effect Monster,Beast-Warrior,0.11,0.23,31,False,False,False,False,False,False,False,False,True,2005-12-08
ABC-Dragon Buster,fusion,Fusion Monster,Machine,0.44,0.42,79,False,True,False,False,False,True,False,False,True,2016-06-18
Abominable Chamber of the Unchained,trap,Trap Card,Normal,0.20,0.30,44,False,False,False,False,False,False,False,False,True,2019-07-13
Abominable Unchained Soul,effect,Effect Monster,Fiend,0.08,0.11,95,False,False,False,False,False,False,True,True,True,2019-10-12
Abomination's Prison,spell,Spell Card,Normal,8.92,7.15,41,True,False,False,False,False,False,False,False,True,2019-07-13
Absolute Crusader,effect,Effect Monster,Warrior,0.11,0.13,21,False,False,False,False,False,False,False,False,False,2011-04-16
Absolute End,trap,Trap Card,Normal,0.08,0.12,17,False,False,False,False,False,False,False,False,False,2004-05-27
Absolute King - Megaplunder,normal,Normal Monster,Dinosaur,0.00,0.00,18,False,False,False,False,False,False,False,False,False,2023-04-03
Absolute King Back Jack,effect,Effect Monster,Fiend,0.15,0.13,94,False,True,False,False,False,False,False,True,True,2015-03-21
Absolute Powerforce,spell,Spell Card,Quick-Play,0.17,0.21,69,False,False,False,False,False,False,False,False,False,2023-06-24
Absorb Fusion,spell,Spell Card,Normal,6.48,5.67,66,True,True,False,False,False,False,False,False,False,2014-08-09
Absorbing Jar,effect,Flip Effect Monster,Rock,0.04,0.18,35,False,False,False,False,False,False,False,False,False,2012-02-18
Absorbing Kid from the Sky,effect,Effect Monster,Fairy,0.12,0.17,31,False,False,False,False,False,False,False,True,False,2004-02-26
Absorouter Dragon,effect,Effect Monster,Dragon,1.57,1.68,59,True,False,False,False,False,False,False,True,True,2019-06-22
Abyss Actor - Comic Relief,effect_pendulum,Pendulum Effect Monster,Fiend,0.12,0.17,104,False,False,False,False,False,False,False,False,True,2018-06-09
Abyss Actor - Curtain Raiser,effect_pendulum,Pendulum Effect Monster,Fiend,0.30,0.28,77,True,False,False,False,False,False,False,True,True,2017-05-13
Abyss Actor - Evil Heel,effect_pendulum,Pendulum Effect Monster,Fiend,1.43,1.10,109,False,False,False,False,False,False,True,False,True,2016-08-06
Abyss Actor - Extras,effect_pendulum,Pendulum Effect Monster,Fiend,0.17,0.22,96,False,False,False,False,False,False,False,False,True,2016-08-06
Abyss Actor - Funky Comedian,effect_pendulum,Pendulum Effect Monster,Fiend,0.21,0.22,131,False,False,False,False,False,False,True,False,True,2016-08-06
Abyss Actor - Hyper Director,link,Link Monster,Fiend,0.20,0.22,72,False,False,False,False,False,False,False,False,True,2019-11-23
Abyss Actor - Leading Lady,effect_pendulum,Pendulum Effect Monster,Fiend,0.15,0.17,132,True,False,False,False,False,False,True,False,True,2016-08-06
Abyss Actor - Liberty Dramatist,effect_pendulum,Pendulum Effect Monster,Fiend,0.34,0.06,128,False,False,False,False,False,True,False,False,True,2022-10-15
Abyss Actor - Mellow Madonna,effect_pendulum,Pendulum Effect Monster,Fiend,0.18,0.40,156,True,False,False,False,False,True,True,False,True,2018-06-09
Abyss Actor - Sassy Rookie,effect_pendulum,Pendulum Effect Monster,Fiend,0.30,0.85,117,False,False,False,False,False,False,False,False,False,2016-08-06
Abyss Actor - Super Producer,link,Link Monster,Fiend,0.11,0.06,75,False,False,False,False,False,False,False,False,True,2022-10-15
Abyss Actor - Superstar,effect_pendulum,Pendulum Effect Monster,Fiend,0.15,0.23,71,True,False,False,False,False,True,False,True,True,2016-08-06
Abyss Actor - Trendy Understudy,effect_pendulum,Pendulum Effect Monster,Fiend,0.07,0.08,85,True,False,False,False,False,False,False,False,True,2016-07-21
Abyss Actor - Twinkle Little Star,effect_pendulum,Pendulum Effect Monster,Fiend,0.10,0.13,91,False,False,True,False,False,False,True,False,True,2016-11-26
Abyss Actor - Wild Hope,effect_pendulum,Pendulum Effect Monster,Fiend,0.15,0.23,129,True,False,False,False,False,False,True,False,True,2016-08-06
Abyss Actors Back Stage,trap,Trap Card,Normal,0.07,0.11,39,True,False,False,False,False,False,False,False,False,2016-08-06
Abyss Actors' Curtain Call,trap,Trap Card,Normal,0.06,0.08,91,True,False,False,False,False,True,False,False,False,2018-06-09
Abyss Actors' Dress Rehearsal,spell,Spell Card,Normal,0.11,0.21,43,True,False,False,False,False,False,False,False,False,2022-10-15
Abyss Dweller,xyz,XYZ Monster,Sea Serpent,0.85,0.57,48,False,False,False,False,False,False,False,False,True,2013-05-18
Abyss Flower,normal,Normal Monster,Plant,0.00,0.00,12,False,False,False,False,False,False,False,False,False,1999-05-25
Abyss Keeper,link,Link Monster,Fish,0.15,0.03,68,False,True,False,False,False,False,False,False,True,2021-11-04
Abyss Playhouse - Fantastic Theater,spell,Spell Card,Field,0.10,0.18,75,True,False,False,False,False,False,False,False,True,2018-06-09
Abyss Prop - Wild Wagon,spell,Spell Card,Continuous,0.15,0.16,92,False,False,False,False,False,False,True,False,True,2016-08-06
Abyss Script - Abysstainment,spell,Spell Card,Continuous,0.29,0.44,78,False,False,False,False,False,True,False,False,False,2017-05-13
Abyss Script - Dramatic Story,spell,Spell Card,Normal,0.06,0.06,86,False,False,False,False,False,False,False,False,False,2022-10-15
Abyss Script - Fantasy Magic,spell,Spell Card,Normal,0.21,0.23,72,False,False,False,False,False,False,False,False,False,2016-08-06
Abyss Script - Fire Dragon's Lair,spell,Spell Card,Normal,0.20,0.23,88,False,True,False,False,False,False,False,False,True,2016-08-06
Abyss Script - Opening Ceremony,spell,Spell Card,Normal,0.09,0.18,64,False,False,False,False,False,False,False,False,True,2016-08-06
Abyss Script - Rise of the Abyss King,spell,Spell Card,Normal,0.12,0.23,97,True,False,False,False,False,False,False,False,False,2016-08-06
Abyss Script - Romantic Terror,spell,Spell Card,Quick-Play,0.02,0.06,91,False,False,False,False,False,False,False,False,False,2018-06-09
Abyss Shark,effect,Effect Monster,Fish,8.10,10.23,109,True,False,False,False,False,False,False,False,True,2021-11-20
Abyss Soldier,effect,Effect Monster,Aqua,4.40,2.24,24,False,False,False,False,False,False,False,False,True,2004-07-29
Abyss Stungray,trap,Trap Card,Continuous,0.16,0.20,31,False,False,False,False,False,False,False,False,False,2015-02-14
Abyss Warrior,effect,Effect Monster,Aqua,0.12,0.20,32,False,False,False,False,False,False,False,False,True,2012-07-21
Abyss-scale of Cetus,spell,Spell Card,Equip,0.16,0.17,35,False,False,True,False,False,False,False,True,False,2012-11-17
Abyss-scale of the Kraken,spell,Spell Card,Equip,0.15,0.14,35,False,False,True,False,False,False,False,True,False,2012-07-21
Abyss-scale of the Mizuchi,spell,Spell Card,Equip,0.19,0.22,35,False,False,True,False,False,False,False,True,False,2013-02-16
Abyss-scorn,trap,Trap Card,Normal,0.10,0.13,35,False,False,False,False,False,False,False,True,False,2012-11-17
Abyss-sphere,trap,Trap Card,Continuous,3.03,4.07,38,False,False,True,False,False,False,True,False,False,2012-07-21
Abyss-squall,trap,Trap Card,Normal,0.71,0.42,31,False,False,True,False,False,False,False,False,False,2012-07-21
Abyss-strom,trap,Trap Card,Normal,0.24,0.20,21,False,False,False,False,False,False,False,True,False,2012-07-21
Abyssal Designator,spell,Spell Card,Normal,0.16,0.15,31,False,False,False,False,False,False,False,True,False,2004-05-27
Abyssal Kingshark,effect,Effect Monster,Fish,0.31,0.21,21,False,False,False,False,False,False,False,False,True,2008-09-13
Accel Synchro Stardust Dragon,synchro,Synchro Monster,Dragon,25.46,32.07,99,False,False,False,False,False,True,False,False,True,2022-02-19
Accel Synchron,synchro,Synchro Tuner Monster,Machine,0.14,0.22,82,False,False,False,False,False,False,False,True,True,2014-12-06
Accellight,spell,Spell Card,Normal,0.17,0.18,38,False,False,False,False,False,False,False,False,False,2012-09-15
Accesscode Talker,link,Link Monster,Cyberse,19.71,19.59,89,False,True,False,False,False,False,False,False,False,2020-01-11
Accumulated Fortune,trap,Trap Card,Normal,0.30,0.25,27,False,False,False,False,False,False,False,False,False,2006-08-10
Achacha Archer,effect,Effect Monster,Warrior,0.03,0.13,14,False,False,False,False,False,False,False,False,False,2011-04-16
Achacha Chanbara,effect,Effect Monster,Warrior,0.08,0.13,37,False,False,False,False,False,False,False,False,False,2012-07-21
Achichi @Ignister,effect,Effect Monster,Cyberse,0.31,0.20,64,True,True,False,False,False,True,False,False,True,2019-10-12
Acid Crawler,normal,Normal Monster,Insect,0.00,0.00,11,False,False,False,False,False,False,False,False,False,1999-09-23
Acid Rain,spell,Spell Card,Normal,0.06,0.17,8,False,False,False,False,False,False,False,False,False,1999-07-22
Acid Trap Hole,trap,Trap Card,Normal,0.08,0.20,33,False,False,False,False,False,False,False,False,False,1999-07-08
Acidic Downpour,spell,Spell Card,Field,0.07,0.08,10,False,False,False,False,False,False,False,False,False,2007-11-23
Acorno,effect,Effect Monster,Plant,0.05,0.12,23,False,False,False,False,False,False,False,True,False,2011-07-16
Acrobat Monkey,normal,Normal Monster,Machine,0.04,0.10,15,False,False,False,False,False,False,False,False,False,2002-11-21
Acrobatic Magician,effect_pendulum,Pendulum Effect Monster,Spellcaster,0.12,0.20,85,False,False,True,False,False,False,False,False,True,2016-04-09
Action Magic - Double Banking,spell,Spell Card,Quick-Play,0.10,0.10,55,False,False,False,False,False,True,False,True,False,2018-03-10
Action Magic - Full Turn,spell,Spell Card,Quick-Play,0.08,0.13,44,False,False,False,False,False,True,False,True,False,2018-03-10
Ad Libitum of Despia,effect,Effect Monster,Fairy,0.11,0.20,93,False,True,False,False,False,True,False,True,True,2021-07-17
Adamancipator Analyzer,effect,Tuner Monster,Rock,0.16,0.15,72,False,False,False,False,False,False,False,False,True,2020-03-17
Adamancipator Crystal - Dragite,effect,Effect Monster,Rock,0.08,0.19,70,False,False,False,False,False,True,False,False,True,2020-03-17
Adamancipator Crystal - Leonite,effect,Effect Monster,Rock,0.06,0.10,81,False,False,False,False,False,True,False,False,True,2020-03-17
Adamancipator Crystal - Raptite,effect,Effect Monster,Rock,0.07,0.10,81,False,False,False,False,False,True,False,False,True,2020-03-17
Adamancipator Friends,spell,Spell Card,Normal,0.16,0.18,77,True,False,False,False,False,False,False,False,False,2020-04-18
Adamancipator Laputite,spell,Spell Card,Field,0.07,0.11,37,False,False,False,False,False,False,False,False,True,2020-03-17
Adamancipator Relief,trap,Trap Card,Normal,0.08,0.07,19,False,False,False,False,False,False,False,False,False,2020-03-17
Adamancipator Researcher,effect,Tuner Monster,Rock,0.92,0.40,74,False,False,False,False,False,False,False,False,True,2020-03-17
Adamancipator Resonance,trap,Trap Card,Counter,0.02,0.07,22,False,False,True,False,False,False,False,False,False,2020-03-17
Adamancipator Risen - Dragite,synchro,Synchro Monster,Rock,2.10,1.01,100,False,False,True,False,False,True,False,False,True,2020-03-17
Adamancipator Risen - Leonite,synchro,Synchro Monster,Rock,0.21,0.14,87,True,False,False,False,False,True,False,False,True,2020-03-17
Adamancipator Risen - Raptite,synchro,Synchro Monster,Rock,0.19,0.19,87,False,True,False,False,False,True,False,False,True,2020-03-17
Adamancipator Seeker,effect,Tuner Monster,Rock,0.18,0.14,74,False,False,False,False,False,False,False,False,True,2020-03-17
Adamancipator Signs,spell,Spell Card,Normal,0.33,0.30,45,False,False,False,False,False,True,False,False,False,2020-03-17
Additional Mirror Level 7,spell,Spell Card,Quick-Play,0.05,0.05,75,True,False,False,False,False,False,False,True,False,2022-12-17
Adhesion Trap Hole,trap,Trap Card,Normal,0.12,0.19,11,False,False,False,False,False,False,False,False,False,2002-07-18
Adhesive Explosive,effect,Effect Monster,Machine,0.02,0.15,47,False,False,False,False,False,False,False,False,False,2005-11-17
"Adreus, Keeper of Armageddon",xyz,XYZ Monster,Fiend,1.71,1.25,26,False,False,False,False,False,False,False,False,True,2012-10-13
Adularia of the June Moon,effect,Effect Monster,Spellcaster,0.13,0.21,89,False,False,False,False,False,False,False,True,True,2022-06-21
Advance Draw,spell,Spell Card,Normal,0.04,0.14,13,False,False,False,False,False,False,False,False,False,2009-04-18
Advance Force,spell,Spell Card,Continuous,0.18,0.17,18,False,False,False,False,False,False,False,False,False,2009-11-14
Advance Zone,spell,Spell Card,Continuous,0.23,0.29,68,True,False,False,False,False,False,False,False,True,2013-05-18
Advanced Crystal Beast Amber Mammoth,effect,Effect Monster,Beast,0.62,0.28,94,False,False,True,False,False,False,False,True,True,2022-06-11
Advanced Crystal Beast Amethyst Cat,effect,Effect Monster,Beast,0.41,0.32,72,False,False,False,False,False,False,False,True,False,2022-06-11
Advanced Crystal Beast Cobalt Eagle,effect,Effect Monster,Winged Beast,0.92,0.51,96,True,False,False,False,False,False,False,True,True,2022-06-11
Advanced Crystal Beast Emerald Tortoise,effect,Effect Monster,Aqua,0.72,0.27,65,False,False,False,False,False,False,False,True,True,2022-06-11
Advanced Crystal Beast Ruby Carbuncle,effect,Effect Monster,Fairy,0.60,0.38,97,False,False,False,False,False,False,False,True,True,2022-06-11
Advanced Crystal Beast Sapphire Pegasus,effect,Effect Monster,Beast,1.08,0.43,83,False,True,False,False,False,False,False,True,False,2022-06-11
Advanced Crystal Beast Topaz Tiger,effect,Effect Monster,Beast,0.63,0.27,65,False,False,False,False,False,False,False,True,False,2022-06-11
Advanced Dark,spell,Spell Card,Field,0.03,0.05,67,False,False,True,False,False,False,False,True,False,2012-05-12
Advanced Heraldry Art,spell,Spell Card,Normal,0.31,0.21,28,False,False,False,False,False,False,False,False,False,2012-07-21
Advanced Ritual Art,spell,Spell Card,Ritual,0.16,0.18,33,False,False,False,False,False,False,False,True,False,2006-11-16
Aegaion the Sea Castrum,xyz,XYZ Monster,Machine,0.19,0.17,99,False,True,False,False,False,False,False,False,True,2015-10-17
Aegis of Gaia,trap,Trap Card,Continuous,0.15,0.20,16,False,False,False,False,False,False,False,False,False,2006-12-14
Aegis of the Ocean Dragon Lord,trap,Trap Card,Normal,0.09,0.21,22,False,False,False,False,False,False,False,False,False,2009-04-18
Aerial Recharge,trap,Trap Card,Continuous,0.13,0.18,36,False,False,False,False,False,False,False,True,True,2013-02-16
Aeropixthree,effect,Tuner Monster,Fairy,0.03,0.05,67,False,False,False,False,False,False,False,False,True,2021-04-24
"Aether, the Empowering Dragon",effect,Effect Monster,Dragon,0.10,0.15,33,False,False,False,False,False,False,False,False,True,2014-03-21
"Aether, the Evil Empowering Dragon",effect_pendulum,Pendulum Effect Monster,Dragon,0.17,0.16,48,False,True,False,False,False,False,False,False,True,2015-04-25
After the Storm,spell,Spell Card,Normal,0.08,0.09,24,True,False,False,False,False,False,False,False,False,2012-11-17
After the Struggle,spell,Spell Card,Normal,0.17,0.20,34,False,False,False,False,False,False,False,False,False,2001-11-29
Afterglow,spell,Spell Card,Normal,0.07,0.14,60,False,True,False,False,False,False,False,False,False,2020-06-20
Against the Wind,spell,Spell Card,Normal,0.12,0.28,23,True,False,False,False,False,False,False,False,False,2009-02-14
Agave Dragon,link,Link Monster,Wyrm,0.05,0.12,86,False,False,False,False,False,False,False,False,True,2018-07-14
Agido,effect,Effect Monster,Fairy,0.60,0.15,52,False,False,False,False,False,False,False,True,False,2003-02-20
Agido the Ancient Sentinel,effect,Effect Monster,Fairy,1.48,0.43,126,False,False,False,False,False,True,False,True,True,2022-05-21
Agnimal Candle,effect,Tuner Monster,Pyro,0.09,0.08,61,True,False,False,False,False,True,False,True,True,2023-04-22
"Ahrima, the Wicked Warden",effect,Effect Monster,Fiend,0.17,0.08,72,True,False,False,False,False,False,False,False,True,2018-03-10
Aileron,effect,Effect Monster,Machine,0.19,0.16,87,False,False,False,False,False,False,False,True,False,2022-04-21
Air Armor Ninja,effect,Effect Monster,Warrior,0.12,0.14,18,False,False,False,False,False,False,False,False,False,2011-11-19
Air Cracking Storm,spell,Spell Card,Equip,0.06,0.09,42,False,False,False,False,False,False,False,False,False,2017-04-15
Air Eater,normal,Normal Monster,Fiend,0.00,0.00,11,False,False,False,False,False,False,False,False,False,1999-11-18
Airknight Parshath,effect,Effect Monster,Fairy,0.17,0.17,24,False,False,False,False,False,False,False,False,False,2001-11-29
Airorca,effect,Effect Monster,Sea Serpent,0.06,0.14,36,False,True,False,False,False,False,False,False,True,2011-04-16
Aitsu,normal,Normal Monster,Fairy,0.30,0.20,12,False,False,False,False,False,False,False,False,False,2002-09-19
"Aiwass, the Magistus Spell Spirit",fusion,Fusion Monster,Fiend,0.24,0.20,82,False,False,False,False,False,False,False,False,True,2020-09-12
Akakieisu,normal,Normal Monster,Spellcaster,0.00,0.00,9,False,False,False,False,False,False,False,False,False,2000-01-27
Akashic Magician,link,Link Monster,Spellcaster,1.16,1.20,88,True,False,False,False,False,False,False,True,True,2017-07-08
Akihiron,normal,Normal Monster,Aqua,0.00,0.00,13,False,False,False,False,False,False,False,False,False,1999-05-25
"Akz, the Pumer",effect,Effect Monster,Beast-Warrior,0.17,0.17,60,False,False,False,False,False,False,False,False,True,2011-09-17
Al-Lumi'raj,effect,Tuner Monster,Wyrm,0.08,0.05,16,False,False,False,False,False,False,False,False,False,2015-10-17
Alba-Lenatus the Abyss Dragon,fusion,Fusion Monster,Dragon,0.22,0.17,93,True,False,False,False,False,False,False,True,True,2022-01-15
Albaz the Ashen,effect,Effect Monster,Dragon,0.27,0.13,96,False,False,False,False,False,True,True,False,True,2022-04-23
Albion the Branded Dragon,fusion,Fusion Monster,Dragon,0.28,0.16,93,True,True,False,False,False,False,False,True,True,2021-01-16
Albion the Sanctifire Dragon,fusion,Fusion Monster,Dragon,9.37,12.00,98,False,False,False,False,False,True,False,False,True,2023-01-14
Albion the Shrouded Dragon,effect,Effect Monster,Dragon,0.10,0.09,97,False,False,False,False,False,False,False,True,True,2021-04-17
Alchemic Magician,xyz,XYZ Monster,Spellcaster,3.11,2.65,60,False,False,False,False,False,False,False,True,True,2012-04-14
Alchemist of Black Spells,effect,Effect Monster,Spellcaster,0.13,0.20,36,False,False,False,False,False,False,False,False,True,2010-09-18
Alchemy Cycle,trap,Trap Card,Normal,0.09,0.17,42,False,False,False,False,False,False,False,True,False,2007-11-23
"Alector, Sovereign of Birds",effect,Effect Monster,Winged Beast,0.47,0.41,55,False,False,True,False,False,False,False,False,True,2008-04-04
"Aleirtt, the Ogdoadic Dark",effect,Effect Monster,Reptile,0.31,0.20,66,True,True,False,False,False,True,False,False,True,2021-03-06
Aleister the Invoker,effect,Effect Monster,Spellcaster,3.80,1.74,50,True,False,False,False,False,False,False,True,False,2016-11-12
Aleister the Invoker of Madness,link,Link Monster,Spellcaster,2.59,0.42,90,True,False,False,False,False,False,True,False,False,2017-11-25
ALERT!,spell,Spell Card,Quick-Play,0.04,0.20,46,True,False,False,False,False,True,False,False,False,2022-08-20
Alexandrite Dragon,normal,Normal Monster,Dragon,0.12,0.20,44,False,False,False,False,False,False,False,False,False,2012-03-17
Alghoul Mazera,effect,Effect Monster,Zombie,0.13,0.12,64,False,True,False,False,False,False,False,False,True,2022-01-15
"Alice, Lady of Lament",effect,Effect Monster,Fiend,0.18,0.24,97,True,True,False,False,False,True,False,False,True,2021-10-16
"Alich, Malebranche of the Burning Abyss",effect,Effect Monster,Fiend,0.34,0.36,80,False,False,True,False,False,False,False,True,False,2015-09-19
Alien Ammonite,effect,Tuner Monster,Reptile,0.11,0.12,26,False,False,False,False,False,False,False,False,False,2008-11-15
Alien Brain,trap,Trap Card,Normal,0.10,0.25,33,False,False,False,False,False,False,False,True,False,2009-11-14
Alien Dog,effect,Effect Monster,Reptile,0.23,0.48,28,False,False,False,False,False,False,False,False,False,2009-02-14
Alien Grey,effect,Flip Effect Monster,Reptile,0.22,0.23,59,False,False,False,False,False,False,False,True,False,2006-05-18
Alien Hunter,effect,Effect Monster,Reptile,0.14,0.25,19,False,False,False,False,False,False,False,False,False,2006-05-18
Alien Hypno,effect,Gemini Monster,Reptile,0.19,0.45,95,False,False,False,False,False,False,False,False,False,2007-07-21
Alien Infiltrator,effect,Effect Monster,Reptile,0.28,0.12,43,False,False,False,False,False,False,False,False,True,2006-08-10
Alien Kid,effect,Effect Monster,Reptile,2.22,9.91,38,False,False,False,False,False,False,False,False,False,2009-09-19
Alien Mars,effect,Effect Monster,Reptile,0.30,0.24,13,False,False,True,False,False,False,False,False,False,2006-08-10
Alien Mother,effect,Effect Monster,Reptile,0.75,0.42,55,False,False,False,False,False,False,False,True,False,2006-05-18
Alien Overlord,effect,Effect Monster,Reptile,0.49,0.93,63,False,False,False,False,False,False,False,False,True,2008-11-15
Alien Psychic,effect,Effect Monster,Reptile,0.16,0.22,22,False,False,False,False,False,False,False,False,False,2006-11-16
Alien Shocktrooper,normal,Normal Monster,Reptile,0.48,0.43,32,False,False,False,False,False,False,False,False,False,2007-05-12
Alien Shocktrooper M-Frame,link,Link Monster,Reptile,0.22,0.24,79,False,False,False,False,False,True,False,True,True,2018-11-23
Alien Skull,effect,Effect Monster,Reptile,0.12,0.20,76,False,False,False,False,False,False,False,False,False,2006-05-18
Alien Stealthbuster,effect,Effect Monster,Reptile,0.10,0.10,65,False,True,False,False,False,True,False,True,True,2021-04-17
Alien Telepath,effect,Effect Monster,Reptile,2.39,3.08,42,False,False,False,False,False,False,False,False,True,2007-07-21
Alien Warrior,effect,Effect Monster,Reptile,1.32,0.63,44,False,False,False,False,False,False,False,True,False,2006-05-18
Alinsection,normal,Normal Monster,Insect,0.12,0.16,9,False,False,False,False,False,False,False,False,False,1999-05-25
All-Eyes Phantom Dragon,effect_pendulum,Pendulum Effect Monster,Dragon,0.30,0.58,145,False,False,True,False,False,False,False,True,True,2018-12-21
All-Out Attacks,trap,Trap Card,Continuous,0.02,0.18,33,False,False,False,False,False,False,False,False,False,2007-11-23
Alligator's Sword,normal,Normal Monster,Beast,0.08,0.18,19,False,False,False,False,False,False,False,False,False,2000-04-01
Alligator's Sword Dragon,fusion,Fusion Monster,Dragon,0.04,0.16,24,False,False,False,False,False,False,False,False,False,2000-12-07
Allure of Darkness,spell,Spell Card,Normal,0.22,0.38,28,False,True,False,False,False,False,False,True,False,2008-09-13
Allure Queen LV3,effect,Effect Monster,Spellcaster,0.08,0.18,85,False,False,False,False,False,False,False,True,True,2006-08-10
Allure Queen LV5,effect,Effect Monster,Spellcaster,0.30,0.25,98,False,False,False,False,False,False,False,True,True,2006-08-10
